text	source_full_code	numeric_pinyin	marked_pinyin
中出了	7ur;8uuu\eee	zhong1 chu1 le5	zhōng chū le
中国墨	7ur;goer-rew	zhong1 guo2 mo4	zhōng guó mò
中墨	7ur;-rew	zhong1 mo4	zhōng mò
中大了	7ur;]fds\eee	zhong1 da4 le5	zhōng dà le
中奖了	7ue/3ls/\eee	zhong4 jiang3 le5	zhòng jiǎng le
中恶	7ur;'rew	zhong1 e4	zhōng è
中招了	7ue/7ffu\eee	zhong4 zhao1 le5	zhòng zhāo le
中文了	7ur;=oca\eee	zhong1 wen2 le5	zhōng wén le
中断了	7ur;]udz\eee	zhong1 duan4 le5	zhōng duàn le
中暑了	7ue/9ooo\eee	zhong4 shu3 le5	zhòng shǔ le
中毒了	7ue/]oiu\eee	zhong4 du2 le5	zhòng dú le
中秋了	7ur;2jru\eee	zhong1 qiu1 le5	zhōng qiū le
中站了	7ur;7fdz\eee	zhong1 zhan4 le5	zhōng zhàn le
中签了	7ue/2jfa\eee	zhong4 qian1 le5	zhòng qiān le
中美俄	7ur;-xxl'wer	zhong1 mei3 e2	zhōng měi é
中考了	7ur;qsso\eee	zhong1 kao3 le5	zhōng kǎo le
中蒙俄	7ur;-we;'wer	zhong1 meng2 e2	zhōng méng é
中译俄	7ur;yjkl'wer	zhong1 yi4 e2	zhōng yì é
中额	7ur;'wer	zhong1 e2	zhōng é
中鳄	7ur;'rew	zhong1 e4	zhōng è
丰升额	[rr;9rr;'wer	feng1 sheng1 e2	fēng shēng é
丰厚了	[rr;hreo\eee	feng1 hou4 le5	fēng hòu le
丰富了	[rr;[uio\eee	feng1 fu4 le5	fēng fù le
丰收了	[rr;9rru\eee	feng1 shou1 le5	fēng shōu le
丰末	[rr;-rew	feng1 mo4	fēng mò
丰润了	[rr;0ucz\eee	feng1 run4 le5	fēng rùn le
丰满了	[rr;-ssz\eee	feng1 man3 le5	fēng mǎn le
丰盛了	[rr;9re/\eee	feng1 sheng4 le5	fēng shèng le
丰额	[rr;'wer	feng1 e2	fēng é
丰额头	[rr;'wertweu	feng1 e2 tou2	fēng é tóu
串串了	8udz8udz\eee	chuan4 chuan4 le5	chuàn chuàn le
串台了	8udztsdj\eee	chuan4 tai2 le5	chuàn tái le
串成了	8udz8we;\eee	chuan4 cheng2 le5	chuàn chéng le
串起了	8udz2lll\eee	chuan4 qi3 le5	chuàn qǐ le
串通了	8udztur;\eee	chuan4 tong1 le5	chuàn tōng le
串门了	8udz-xca\eee	chuan4 men2 le5	chuàn mén le
临产了	\lca8ssz\eee	lin2 chan3 le5	lín chǎn le
临到了	\lca]fdo\eee	lin2 dao4 le5	lín dào le
临头了	\lcatweu\eee	lin2 tou2 le5	lín tóu le
临摹了	\lca-wer\eee	lin2 mo2 le5	lín mó le
临末	\lca-rew	lin2 mo4	lín mò
临盆了	\lcapxca\eee	lin2 pen2 le5	lín pén le
临老了	\lca\sso\eee	lin2 lao3 le5	lín lǎo le
临走了	\lca6wwo\eee	lin2 zou3 le5	lín zǒu le
临近了	\lca3jcz\eee	lin2 jin4 le5	lín jìn le
丸墨	=oda-rew	wan2 mo4	wán mò
丸尺蛾	=oda8LLL'wer	wan2 chi3 e2	wán chǐ é
丹垩	]ffa'rew	dan1 e4	dān è
丹垩手	]ffa'rew9wwo	dan1 e4 shou3	dān è shǒu
丹墨	]ffa-rew	dan1 mo4	dān mò
丹崿	]ffa'rew	dan1 e4	dān è
丹莫德	]ffa-rew]wer	dan1 mo4 de2	dān mò dé
丹莫罗	]ffa-rew\oer	dan1 mo4 luo2	dān mò luó
为了	=ucl\eee	wei4 le5	wèi le
为了不	=ucl\eeebuio	wei4 le5 bu4	wèi le bù
为了他	=ucl\eeetfff	wei4 le5 ta1	wèi le tā
为了你	=ucl\eeenlll	wei4 le5 ni3	wèi le nǐ
为了吧	=ucl\eeebddd	wei4 le5 ba5	wèi le ba
为了和	=ucl\eeehwer	wei4 le5 he2	wèi le hé
为了啥	=ucl\eee9sdf	wei4 le5 sha2	wèi le shá
为了在	=ucl\eee6fdl	wei4 le5 zai4	wèi le zài
为了她	=ucl\eeetfff	wei4 le5 ta1	wèi le tā
为了娃	=ucl\eee=odf	wei4 le5 wa2	wèi le wá
为了学	=ucl\eee1.cv	wei4 le5 xue2	wèi le xué
为了它	=ucl\eeetfff	wei4 le5 ta1	wèi le tā
为了家	=ucl\eee3jff	wei4 le5 jia1	wèi le jiā
为了对	=ucl\eee]ucl	wei4 le5 dui4	wèi le duì
为了将	=ucl\eee3jf;	wei4 le5 jiang1	wèi le jiāng
为了您	=ucl\eeenlca	wei4 le5 nin2	wèi le nín
为了情	=ucl\eee2le;	wei4 le5 qing2	wèi le qíng
为了我	=ucl\eee=oww	wei4 le5 wo3	wèi le wǒ
为了把	=ucl\eeebsss	wei4 le5 ba3	wèi le bǎ
为了梦	=ucl\eee-re/	wei4 le5 meng4	wèi le mèng
为了水	=ucl\eee9oxl	wei4 le5 shui3	wèi le shuǐ
为了爱	=ucl\eee'fdl	wei4 le5 ai4	wèi le ài
为了看	=ucl\eeeqfdz	wei4 le5 kan4	wèi le kàn
为了睡	=ucl\eee9ucl	wei4 le5 shui4	wèi le shuì
为了美	=ucl\eee-xxl	wei4 le5 mei3	wèi le měi
为了能	=ucl\eeenwe;	wei4 le5 neng2	wèi le néng
为了花	=ucl\eeehuff	wei4 le5 hua1	wèi le huā
为了要	=ucl\eeeyjdo	wei4 le5 yao4	wèi le yào
为了让	=ucl\eee0fd/	wei4 le5 rang4	wèi le ràng
为了谁	=ucl\eee9ocj	wei4 le5 shui2	wèi le shuí
为了赢	=ucl\eeeyle;	wei4 le5 ying2	wèi le yíng
为了追	=ucl\eee7uvj	wei4 le5 zhui1	wèi le zhuī
为了钱	=ucl\eee2lda	wei4 le5 qian2	wèi le qián
为了降	=ucl\eee3jd/	wei4 le5 jiang4	wèi le jiàng
为了难	=ucl\eeensda	wei4 le5 nan2	wèi le nán
为什么	=ucl9xca-eee	wei4 shen2 me5	wèi shén me
为伍了	=ocj=ooo\eee	wei2 wu3 le5	wéi wǔ le
为何了	=uclhwer\eee	wei4 he2 le5	wèi hé le
为口莫学阮嗣宗	=ocjqwwo-rew1.cv0osz4JKL6ur;	wei2 kou3 mo4 xue2 ruan3 si4 zong1	wéi kǒu mò xué ruǎn sì zōng
为啥了	=ucl9sdf\eee	wei4 sha2 le5	wèi shá le
为妻了	=ucl2jjj\eee	wei4 qi1 le5	wèi qī le
为师了	=ocj9JJJ\eee	wei2 shi1 le5	wéi shī le
为恶	=ocj'rew	wei2 e4	wéi è
为恶不悛	=ocj'rewbuio2mfa	wei2 e4 bu4 quan1	wéi è bù quān
为恶者	=ocj'rew7www	wei2 e4 zhe3	wéi è zhě
为敌了	=ocj]lkj\eee	wei2 di2 le5	wéi dí le
为甚么	=ucl9vcz-eee	wei4 shen4 me5	wèi shèn me
为茉莉	=ucl-rew\jkl	wei4 mo4 li4	wèi mò lì
为过了	=ocjguew\eee	wei2 guo4 le5	wéi guò le
为陌生	=ucl-rew9rr;	wei4 mo4 sheng1	wèi mò shēng
为除了	=ucl8oiu\eee	wei4 chu2 le5	wèi chú le
为难了	=ocjnsda\eee	wei2 nan2 le5	wéi nán le
为零了	=ocj\le;\eee	wei2 ling2 le5	wéi líng le
为非作恶	=ocj[vvj6uew'rew	wei2 fei1 zuo4 e4	wéi fēi zuò è
主了吧	7ooo\eeebddd	zhu3 le5 ba5	zhǔ le ba
主人了	7ooo0xca\eee	zhu3 ren2 le5	zhǔ rén le
主任了	7ooo0vcz\eee	zhu3 ren4 le5	zhǔ rèn le
主动了	7ooo]ue/\eee	zhu3 dong4 le5	zhǔ dòng le
主场了	7ooo8ss/\eee	zhu3 chang3 le5	zhǔ chǎng le
主宰了	7ooo6ssl\eee	zhu3 zai3 le5	zhǔ zǎi le
主导了	7ooo]sso\eee	zhu3 dao3 le5	zhǔ dǎo le
主持了	7ooo8LKJ\eee	zhu3 chi2 le5	zhǔ chí le
主母了	7ooo-ooo\eee	zhu3 mu3 le5	zhǔ mǔ le
主管了	7ooogosz\eee	zhu3 guan3 le5	zhǔ guǎn le
主编了	7ooobjfa\eee	zhu3 bian1 le5	zhǔ biān le
主角了	7ooo3.cv\eee	zhu3 jue2 le5	zhǔ jué le
主说了	7ooo9urr\eee	zhu3 shuo1 le5	zhǔ shuō le
丽夜蛾	\jklyjcx'wer	li4 ye4 e2	lì yè é
丽娥	\jkl'wer	li4 e2	lì é
丽毒蛾	\jkl]oiu'wer	li4 du2 e2	lì dú é
丽沫蝉	\jkl-rew8sda	li4 mo4 chan2	lì mò chán
丽灯蛾	\jkl]rr;'wer	li4 deng1 e2	lì dēng é
丽蕚	\jkl'rew	li4 e4	lì è
丽钩蛾	\jklgrru'wer	li4 gou1 e2	lì gōu é
举了	3...\eee	ju3 le5	jǔ le
举了举	3...\eee3...	ju3 le5 ju3	jǔ le jǔ
举了吧	3...\eeebddd	ju3 le5 ba5	jǔ le ba
举人了	3...0xca\eee	ju3 ren2 le5	jǔ rén le
举出了	3...8uuu\eee	ju3 chu1 le5	jǔ chū le
举到了	3...]fdo\eee	ju3 dao4 le5	jǔ dào le
举办了	3...bfdz\eee	ju3 ban4 le5	jǔ bàn le
举动了	3...]ue/\eee	ju3 dong4 le5	jǔ dòng le
举在了	3...6fdl\eee	ju3 zai4 le5	jǔ zài le
举手了	3...9wwo\eee	ju3 shou3 le5	jǔ shǒu le
举手加额	3...9wwo3jff'wer	ju3 shou3 jia1 e2	jǔ shǒu jiā é
举报了	3...bfdo\eee	ju3 bao4 le5	jǔ bào le
举牌了	3...psdj\eee	ju3 pai2 le5	jǔ pái le
举累了	3...\vcl\eee	ju3 lei4 le5	jǔ lèi le
举肢蛾	3...7JJJ'wer	ju3 zhi1 e2	jǔ zhī é
举荐了	3...3jdz\eee	ju3 jian4 le5	jǔ jiàn le
举行了	3...1le;\eee	ju3 xing2 le5	jǔ xíng le
举起了	3...2lll\eee	ju3 qi3 le5	jǔ qǐ le
举过了	3...guew\eee	ju3 guo4 le5	jǔ guò le
举首加额	3...9wwo3jff'wer	ju3 shou3 jia1 e2	jǔ shǒu jiā é
举高了	3...gffu\eee	ju3 gao1 le5	jǔ gāo le
久了	3lwo\eee	jiu3 le5	jiǔ le
久了吧	3lwo\eeebddd	jiu3 le5 ba5	jiǔ le ba
久了啊	3lwo\eee'ddd	jiu3 le5 a5	jiǔ le a
久仰了	3lwoyls/\eee	jiu3 yang3 le5	jiǔ yǎng le
久候了	3lwohreo\eee	jiu3 hou4 le5	jiǔ hòu le
久催了	3lwo5uvj\eee	jiu3 cui1 le5	jiǔ cuī le
久到了	3lwo]fdo\eee	jiu3 dao4 le5	jiǔ dào le
久留了	3lwo\leu\eee	jiu3 liu2 le5	jiǔ liú le
久的了	3lwo]eee\eee	jiu3 de5 le5	jiǔ de le
久看了	3lwoqfdz\eee	jiu3 kan4 le5	jiǔ kàn le
久等了	3lwo]ww/\eee	jiu3 deng3 le5	jiǔ děng le
久远了	3lwo`.sz\eee	jiu3 yuan3 le5	jiǔ yuǎn le
久违了	3lwo=ocj\eee	jiu3 wei2 le5	jiǔ wéi le
么	-eee	me5	me
么么	-eee-eee	me5 me5	me me
么么哒	-eee-eee]fff	me5 me5 da1	me me dā
么人	-eee0xca	me5 ren2	me rén
么似地	-eee9JKL]eee	me5 shi4 de5	me shì de
么娘	-eeenld;	me5 niang2	me niáng
么波	-eeebrrr	me5 bo1	me bō
么生	-eee9rr;	me5 sheng1	me shēng
么眇	-eee-lso	me5 miao3	me miǎo
么虫	-eee8oe;	me5 chong2	me chóng
么道	-eee]fdo	me5 dao4	me dào
么那	-eeenfds	me5 na4	me nà
么陋	-eee\reo	me5 lou4	me lòu
义务了	yjkl=uio\eee	yi4 wu4 le5	yì wù le
义墨	yjkl-rew	yi4 mo4	yì mò
义女了	yjkln...\eee	yi4 nü3 le5	yì nǚ le
之恶	7JJJ'rew	zhi1 e4	zhī è
之末	7JJJ-rew	zhi1 mo4	zhī mò
乌漆墨黑	=uuu2jjj-rewhvvj	wu1 qi1 mo4 hei1	wū qī mò hēi
乌贼墨	=uuu6xcj-rew	wu1 zei2 mo4	wū zéi mò
乌青了	=uuu2jr;\eee	wu1 qing1 le5	wū qīng le
乌鲗墨	=uuu6xcj-rew	wu1 zei2 mo4	wū zéi mò
乌龙了	=uuu\oe;\eee	wu1 long2 le5	wū lóng le
乏了	[sdf\eee	fa2 le5	fá le
乏力了	[sdf\jkl\eee	fa2 li4 le5	fá lì le
乏味了	[sdf=ucl\eee	fa2 wei4 le5	fá wèi le
乏戹	[sdf'rew	fa2 e4	fá è
乏饿	[sdf'rew	fa2 e4	fá è
乐乐了	\rew\rew\eee	le4 le4 le5	lè lè le
乐了	\rew\eee	le4 le5	lè le
乐了吧	\rew\eeebddd	le4 le5 ba5	lè le ba
乐出了	\rew8uuu\eee	le4 chu1 le5	lè chū le
乐呵了	\rewhrrr\eee	le4 he1 le5	lè hē le
乐喷了	\rewpvva\eee	le4 pen1 le5	lè pēn le
乐坏了	\rewhudl\eee	le4 huai4 le5	lè huài le
乐完了	\rew=oda\eee	le4 wan2 le5	lè wán le
乐开了	\rewqffj\eee	le4 kai1 le5	lè kāi le
乐意么	\rewyjkl-eee	le4 yi4 me5	lè yì me
乐意了	\rewyjkl\eee	le4 yi4 le5	lè yì le
乐死了	\rew4LLL\eee	le4 si3 le5	lè sǐ le
乐疯了	\rew[rr;\eee	le4 feng1 le5	lè fēng le
乐翻了	\rew[ffa\eee	le4 fan1 le5	lè fān le
乐观了	\rewgufa\eee	le4 guan1 le5	lè guān le
乐趣了	\rew2m,.\eee	le4 qu4 le5	lè qù le
乐颠了馅	\rew]jfa\eee1jdz	le4 dian1 le5 xian4	lè diān le xiàn
乔装了	2ldu7uf;\eee	qiao2 zhuang1 le5	qiáo zhuāng le
乖乖了	gufjgufj\eee	guai1 guai1 le5	guāi guāi le
乖了	gufj\eee	guai1 le5	guāi le
乖哦	gufj'wer	guai1 o2	guāi ó
乖多了	gufj]urr\eee	guai1 duo1 le5	guāi duō le
乖巧了	gufj2lso\eee	guai1 qiao3 le5	guāi qiǎo le
乖讹	gufj'wer	guai1 e2	guāi é
乘上了	8we;9fd/\eee	cheng2 shang4 le5	chéng shàng le
乘了	8we;\eee	cheng2 le5	chéng le
乘坐了	8we;6uew\eee	cheng2 zuo4 le5	chéng zuò le
乘车了	8we;8rrr\eee	cheng2 che1 le5	chéng chē le
乙鳄龙	ylll'rew\oe;	yi3 e4 long2	yǐ è lóng
乜斜了	-jvv1lcv\eee	mie1 xie2 le5	miē xié le
九厄	3lwo'rew	jiu3 e4	jiǔ è
九号了	3lwohfdo\eee	jiu3 hao4 le5	jiǔ hào le
九城陌	3lwo8we;-rew	jiu3 cheng2 mo4	jiǔ chéng mò
九岁了	3lwo4ucl\eee	jiu3 sui4 le5	jiǔ suì le
九年了	3lwonlda\eee	jiu3 nian2 le5	jiǔ nián le
九月了	3lwo`mcx\eee	jiu3 yue4 le5	jiǔ yuè le
九月末	3lwo`mcx-rew	jiu3 yue4 mo4	jiǔ yuè mò
九死厄	3lwo4LLL'rew	jiu3 si3 e4	jiǔ sǐ è
九点了	3lwo]lsz\eee	jiu3 dian3 le5	jiǔ diǎn le
九萼红	3lwo'rewhoe;	jiu3 e4 hong2	jiǔ è hóng
九貉	3lwo-rew	jiu3 mo4	jiǔ mò
九陌	3lwo-rew	jiu3 mo4	jiǔ mò
九陌钱	3lwo-rew2lda	jiu3 mo4 qian2	jiǔ mò qián
乞丐了	2lllgfdl\eee	qi3 gai4 le5	qǐ gài le
乞留恶滥	2lll\leu'rew\fdz	qi3 liu2 e4 lan4	qǐ liú è làn
也上了	ylxx9fd/\eee	ye3 shang4 le5	yě shàng le
也下了	ylxx1jds\eee	ye3 xia4 le5	yě xià le
也不知别喇叭的哑巴拿喇巴打坏了提拉塔嘛喇嘛的塔嘛	ylxxbuio7JJJblcv\sssbfff]eeeylssbfffnsdf\sssbfff]ssshudl\eeetlkj\ffftsss-ddd\sss-ddd]eeetsss-ddd	ye3 bu4 zhi1 bie2 la3 ba1 de5 ya3 ba1 na2 la3 ba1 da3 huai4 le5 ti2 la1 ta3 ma5 la3 ma5 de5 ta3 ma5	yě bù zhī bié lǎ bā de yǎ bā ná lǎ bā dǎ huài le tí lā tǎ ma lǎ ma de tǎ ma
也不知提拉塔嘛的喇嘛拿塔嘛打坏了别喇叭哑巴的喇叭	ylxxbuio7JJJtlkj\ffftsss-ddd]eee\sss-dddnsdftsss-ddd]ssshudl\eeeblcv\sssbfffylssbfff]eee\sssbfff	ye3 bu4 zhi1 ti2 la1 ta3 ma5 de5 la3 ma5 na2 ta3 ma5 da3 huai4 le5 bie2 la3 ba1 ya3 ba1 de5 la3 ba1	yě bù zhī tí lā tǎ ma de lǎ ma ná tǎ ma dǎ huài le bié lǎ bā yǎ bā de lǎ bā
也丢了	ylxx]jru\eee	ye3 diu1 le5	yě diū le
也中了	ylxx7ue/\eee	ye3 zhong4 le5	yě zhòng le
也为了	ylxx=ucl\eee	ye3 wei4 le5	yě wèi le
也举了	ylxx3...\eee	ye3 ju3 le5	yě jǔ le
也乏了	ylxx[sdf\eee	ye3 fa2 le5	yě fá le
也乐了	ylxx\rew\eee	ye3 le4 le5	yě lè le
也买了	ylxx-ssl\eee	ye3 mai3 le5	yě mǎi le
也乱了	ylxx\udz\eee	ye3 luan4 le5	yě luàn le
也了吧	ylxx\eeebddd	ye3 le5 ba5	yě le ba
也亏了	ylxxquvj\eee	ye3 kui1 le5	yě kuī le
也交了	ylxx3jfu\eee	ye3 jiao1 le5	yě jiāo le
也亮了	ylxx\jd/\eee	ye3 liang4 le5	yě liàng le
也什么	ylxx9xca-eee	ye3 shen2 me5	yě shén me
也付了	ylxx[uio\eee	ye3 fu4 le5	yě fù le
也会了	ylxxhucl\eee	ye3 hui4 le5	yě huì le
也伤了	ylxx9ff;\eee	ye3 shang1 le5	yě shāng le
也低了	ylxx]jjj\eee	ye3 di1 le5	yě dī le
也住了	ylxx7uio\eee	ye3 zhu4 le5	yě zhù le
也信了	ylxx1jcz\eee	ye3 xin4 le5	yě xìn le
也修了	ylxx1jru\eee	ye3 xiu1 le5	yě xiū le
也倒了	ylxx]sso\eee	ye3 dao3 le5	yě dǎo le
也值了	ylxx7LKJ\eee	ye3 zhi2 le5	yě zhí le
也做了	ylxx6uew\eee	ye3 zuo4 le5	yě zuò le
也停了	ylxxtle;\eee	ye3 ting2 le5	yě tíng le
也催了	ylxx5uvj\eee	ye3 cui1 le5	yě cuī le
也傻了	ylxx9sss\eee	ye3 sha3 le5	yě shǎ le
也免了	ylxx-lsz\eee	ye3 mian3 le5	yě miǎn le
也入了	ylxx0uio\eee	ye3 ru4 le5	yě rù le
也关了	ylxxgufa\eee	ye3 guan1 le5	yě guān le
也养了	ylxxyls/\eee	ye3 yang3 le5	yě yǎng le
也写了	ylxx1lxx\eee	ye3 xie3 le5	yě xiě le
也冲了	ylxx8ur;\eee	ye3 chong1 le5	yě chōng le
也冷了	ylxx\ww/\eee	ye3 leng3 le5	yě lěng le
也凉了	ylxx\ld;\eee	ye3 liang2 le5	yě liáng le
也减了	ylxx3lsz\eee	ye3 jian3 le5	yě jiǎn le
也凑了	ylxx5reo\eee	ye3 cou4 le5	yě còu le
也出了	ylxx8uuu\eee	ye3 chu1 le5	yě chū le
也分了	ylxx[vva\eee	ye3 fen1 le5	yě fēn le
也删了	ylxx9ffa\eee	ye3 shan1 le5	yě shān le
也到了	ylxx]fdo\eee	ye3 dao4 le5	yě dào le
也刷了	ylxx9uff\eee	ye3 shua1 le5	yě shuā le
也剩了	ylxx9re/\eee	ye3 sheng4 le5	yě shèng le
也剪了	ylxx3lsz\eee	ye3 jian3 le5	yě jiǎn le
也劝了	ylxx2mdz\eee	ye3 quan4 le5	yě quàn le
也办了	ylxxbfdz\eee	ye3 ban4 le5	yě bàn le
也加了	ylxx3jff\eee	ye3 jia1 le5	yě jiā le
也动了	ylxx]ue/\eee	ye3 dong4 le5	yě dòng le
也包了	ylxxbffu\eee	ye3 bao1 le5	yě bāo le
也升了	ylxx9rr;\eee	ye3 sheng1 le5	yě shēng le
也卖了	ylxx-fdl\eee	ye3 mai4 le5	yě mài le
也占了	ylxx7fdz\eee	ye3 zhan4 le5	yě zhàn le
也压了	ylxxyjff\eee	ye3 ya1 le5	yě yā le
也去了	ylxx2m,.\eee	ye3 qu4 le5	yě qù le
也发了	ylxx[fff\eee	ye3 fa1 le5	yě fā le
也受了	ylxx9reo\eee	ye3 shou4 le5	yě shòu le
也变了	ylxxbjdz\eee	ye3 bian4 le5	yě biàn le
也叫了	ylxx3jdo\eee	ye3 jiao4 le5	yě jiào le
也吃了	ylxx8JJJ\eee	ye3 chi1 le5	yě chī le
也吐了	ylxxtuio\eee	ye3 tu4 le5	yě tù le
也听了	ylxxtjr;\eee	ye3 ting1 le5	yě tīng le
也吵了	ylxx8sso\eee	ye3 chao3 le5	yě chǎo le
也咸了	ylxx1lda\eee	ye3 xian2 le5	yě xián le
也哑了	ylxxylss\eee	ye3 ya3 le5	yě yǎ le
也哭了	ylxxquuu\eee	ye3 ku1 le5	yě kū le
也唱了	ylxx8fd/\eee	ye3 chang4 le5	yě chàng le
也喊了	ylxxhssz\eee	ye3 han3 le5	yě hǎn le
也喝了	ylxxhrrr\eee	ye3 he1 le5	yě hē le
也回了	ylxxhocj\eee	ye3 hui2 le5	yě huí le
也团了	ylxxtoda\eee	ye3 tuan2 le5	yě tuán le
也困了	ylxxqucz\eee	ye3 kun4 le5	yě kùn le
也圆了	ylxx`.da\eee	ye3 yuan2 le5	yě yuán le
也在了	ylxx6fdl\eee	ye3 zai4 le5	yě zài le
也坏了	ylxxhudl\eee	ye3 huai4 le5	yě huài le
也垮了	ylxxqoss\eee	ye3 kua3 le5	yě kuǎ le
也塌了	ylxxtfff\eee	ye3 ta1 le5	yě tā le
也塞了	ylxx4ffj\eee	ye3 sai1 le5	yě sāi le
也多么	ylxx]urr-eee	ye3 duo1 me5	yě duō me
也多了	ylxx]urr\eee	ye3 duo1 le5	yě duō le
也够了	ylxxgreo\eee	ye3 gou4 le5	yě gòu le
也大了	ylxx]fds\eee	ye3 da4 le5	yě dà le
也夹了	ylxx3jff\eee	ye3 jia1 le5	yě jiā le
也好了	ylxxhsso\eee	ye3 hao3 le5	yě hǎo le
也娶了	ylxx2...\eee	ye3 qu3 le5	yě qǔ le
也嫁了	ylxx3jds\eee	ye3 jia4 le5	yě jià le
也存了	ylxx5oca\eee	ye3 cun2 le5	yě cún le
也学了	ylxx1.cv\eee	ye3 xue2 le5	yě xué le
也完了	ylxx=oda\eee	ye3 wan2 le5	yě wán le
也定了	ylxx]je/\eee	ye3 ding4 le5	yě dìng le
也害了	ylxxhfdl\eee	ye3 hai4 le5	yě hài le
也对了	ylxx]ucl\eee	ye3 dui4 le5	yě duì le
也封了	ylxx[rr;\eee	ye3 feng1 le5	yě fēng le
也小了	ylxx1lso\eee	ye3 xiao3 le5	yě xiǎo le
也少了	ylxx9sso\eee	ye3 shao3 le5	yě shǎo le
也尝了	ylxx8sd;\eee	ye3 chang2 le5	yě cháng le
也尽了	ylxx3jcz\eee	ye3 jin4 le5	yě jìn le
也差了	ylxx8fds\eee	ye3 cha4 le5	yě chà le
也带了	ylxx]fdl\eee	ye3 dai4 le5	yě dài le
也帮了	ylxxbff;\eee	ye3 bang1 le5	yě bāng le
也干了	ylxxgfdz\eee	ye3 gan4 le5	yě gàn le
也平了	ylxxple;\eee	ye3 ping2 le5	yě píng le
也应了	ylxxyjr;\eee	ye3 ying1 le5	yě yīng le
也废了	ylxx[vcl\eee	ye3 fei4 le5	yě fèi le
也建了	ylxx3jdz\eee	ye3 jian4 le5	yě jiàn le
也开了	ylxxqffj\eee	ye3 kai1 le5	yě kāi le
也弄了	ylxxnue/\eee	ye3 nong4 le5	yě nòng le
也当了	ylxx]ff;\eee	ye3 dang1 le5	yě dāng le
也待了	ylxx]ffj\eee	ye3 dai1 le5	yě dāi le
也得了	ylxx]wer\eee	ye3 de2 le5	yě dé le
也忍了	ylxx0xxz\eee	ye3 ren3 le5	yě rěn le
也忘了	ylxx=ud/\eee	ye3 wang4 le5	yě wàng le
也忙了	ylxx-sd;\eee	ye3 mang2 le5	yě máng le
也快了	ylxxqudl\eee	ye3 kuai4 le5	yě kuài le
也怀了	ylxxhodj\eee	ye3 huai2 le5	yě huái le
也怒了	ylxxnuio\eee	ye3 nu4 le5	yě nù le
也怕了	ylxxpfds\eee	ye3 pa4 le5	yě pà le
也急了	ylxx3lkj\eee	ye3 ji2 le5	yě jí le
也惊了	ylxx3jr;\eee	ye3 jing1 le5	yě jīng le
也想了	ylxx1ls/\eee	ye3 xiang3 le5	yě xiǎng le
也愣了	ylxx\re/\eee	ye3 leng4 le5	yě lèng le
也慌了	ylxxhuf;\eee	ye3 huang1 le5	yě huāng le
也慢了	ylxx-fdz\eee	ye3 man4 le5	yě màn le
也懂了	ylxx]ow/\eee	ye3 dong3 le5	yě dǒng le
也懵了	ylxx-ww/\eee	ye3 meng3 le5	yě měng le
也成了	ylxx8we;\eee	ye3 cheng2 le5	yě chéng le
也戒了	ylxx3jcx\eee	ye3 jie4 le5	yě jiè le
也戴了	ylxx]fdl\eee	ye3 dai4 le5	yě dài le
也打了	ylxx]sss\eee	ye3 da3 le5	yě dǎ le
也扔了	ylxx0rr;\eee	ye3 reng1 le5	yě rēng le
也托了	ylxxturr\eee	ye3 tuo1 le5	yě tuō le
也扫了	ylxx4sso\eee	ye3 sao3 le5	yě sǎo le
也找了	ylxx7sso\eee	ye3 zhao3 le5	yě zhǎo le
也抓了	ylxx7uff\eee	ye3 zhua1 le5	yě zhuā le
也投了	ylxxtweu\eee	ye3 tou2 le5	yě tóu le
也折了	ylxx9wer\eee	ye3 she2 le5	yě shé le
也抢了	ylxx2ls/\eee	ye3 qiang3 le5	yě qiǎng le
也报了	ylxxbfdo\eee	ye3 bao4 le5	yě bào le
也抬了	ylxxtsdj\eee	ye3 tai2 le5	yě tái le
也抽了	ylxx8rru\eee	ye3 chou1 le5	yě chōu le
也拆了	ylxx8ffj\eee	ye3 chai1 le5	yě chāi le
也拉了	ylxx\fff\eee	ye3 la1 le5	yě lā le
也拍了	ylxxpffj\eee	ye3 pai1 le5	yě pāi le
也招了	ylxx7ffu\eee	ye3 zhao1 le5	yě zhāo le
也拿了	ylxxnsdf\eee	ye3 na2 le5	yě ná le
也挂了	ylxxguds\eee	ye3 gua4 le5	yě guà le
也按了	ylxx'fdz\eee	ye3 an4 le5	yě àn le
也挑了	ylxxtjfu\eee	ye3 tiao1 le5	yě tiāo le
也挣了	ylxx7re/\eee	ye3 zheng4 le5	yě zhèng le
也挨了	ylxx'ffj\eee	ye3 ai1 le5	yě āi le
也捐了	ylxx3mfa\eee	ye3 juan1 le5	yě juān le
也换了	ylxxhudz\eee	ye3 huan4 le5	yě huàn le
也掉了	ylxx]jdo\eee	ye3 diao4 le5	yě diào le
也排了	ylxxpsdj\eee	ye3 pai2 le5	yě pái le
也接了	ylxx3jvv\eee	ye3 jie1 le5	yě jiē le
也提了	ylxxtlkj\eee	ye3 ti2 le5	yě tí le
也插了	ylxx8fff\eee	ye3 cha1 le5	yě chā le
也搜了	ylxx4rru\eee	ye3 sou1 le5	yě sōu le
也搞了	ylxxgsso\eee	ye3 gao3 le5	yě gǎo le
也搬了	ylxxbffa\eee	ye3 ban1 le5	yě bān le
也摆了	ylxxbssl\eee	ye3 bai3 le5	yě bǎi le
也摔了	ylxx9ufj\eee	ye3 shuai1 le5	yě shuāi le
